transaction_id,pharmacy_id,drug_id,quantity_sold,sale_date,total_amount,promotion_applied_flag
T_1_1,123,181.0,2.0,2024-05-15,247.97,False
T_1_2,137,80.0,17.0,2024-11-08,157.61,True
T_1_3,86,185.0,10.0,2024-09-16,182.25,False
T_1_4,93,165.0,7.0,2023-06-06,136.62,True
T_1_5,97,118.0,20.0,2024-05-25,108.57,True
T_1_6,108,22.0,19.0,2023-08-21,412.08,False
T_1_7,23,54.0,15.0,2024-03-08,220.66,True
T_1_8,50,30.0,12.0,2024-06-27,419.31,True
T_1_9,120,152.0,17.0,2024-01-06,419.25,True
T_1_10,122,86.0,3.0,2024-06-22,264.08,False
T_1_11,80,26.0,12.0,2024-01-04,269.94,True
T_1_12,125,197.0,4.0,2024-08-03,494.65,False
T_1_13,40,167.0,18.0,2024-06-18,439.71,False
T_1_14,28,123.0,17.0,2023-10-15,103.7,True
T_1_15,128,12.0,17.0,2024-08-23,298.72,False
T_1_16,105,7.0,17.0,2024-01-24,378.78,True
T_1_17,127,36.0,10.0,2024-11-21,93.1,False
T_1_18,113,70.0,3.0,2024-01-01,144.62,True
T_1_19,56,11.0,20.0,2024-02-12,389.44,True
T_1_20,32,117.0,5.0,2023-12-28,100.2,True
T_1_21,9,128.0,4.0,2024-01-03,293.47,False
T_1_22,90,191.0,9.0,2024-02-16,60.24,False
T_1_23,14,192.0,9.0,2024-09-20,435.83,False
T_1_24,149,41.0,12.0,2023-10-07,143.37,False
T_1_25,46,49.0,11.0,2023-12-02,65.19,False
T_1_26,129,85.0,5.0,2024-07-13,366.34,True
T_1_27,21,81.0,9.0,2025-01-20,211.6,False
T_1_28,36,112.0,4.0,2023-10-27,192.84,True
T_1_29,64,45.0,20.0,2024-02-26,427.99,False
T_1_30,63,84.0,5.0,2024-04-30,27.44,False
T_1_31,9,104.0,2.0,2024-09-05,256.8,True
T_1_32,51,200.0,15.0,2023-10-19,356.47,False
T_1_33,53,176.0,13.0,2024-02-12,65.36,False
T_1_34,113,113.0,15.0,2024-06-12,228.18,False
T_1_35,101,93.0,5.0,2024-12-05,449.08,False
T_1_36,111,72.0,16.0,2023-09-22,188.4,False
T_1_37,127,4.0,5.0,2025-02-07,82.54,False
T_1_38,129,183.0,20.0,2024-10-07,159.72,True
T_1_39,144,112.0,13.0,2025-02-17,105.35,True
T_1_40,142,125.0,1.0,2024-11-20,34.45,True
T_1_41,51,172.0,5.0,2024-03-31,,True
T_1_42,15,155.0,8.0,2023-07-13,87.02,False
T_1_43,74,160.0,3.0,2025-02-21,359.33,True
T_1_44,1,52.0,13.0,2024-08-12,335.49,False
T_1_45,109,199.0,15.0,2025-02-06,353.94,True
T_1_46,121,118.0,19.0,2024-06-13,135.51,False
T_1_47,58,12.0,7.0,2024-11-29,23.58,False
T_1_48,118,84.0,18.0,2025-03-14,189.35,True
T_1_49,145,117.0,9.0,2024-04-23,5.07,False
T_1_50,61,152.0,20.0,2023-07-17,28.4,True
T_1_51,59,111.0,6.0,2023-10-20,133.17,True
T_1_52,7,7.0,16.0,2024-04-15,106.17,False
T_1_53,40,109.0,3.0,2024-04-12,171.17,True
T_1_54,121,1.0,19.0,2023-11-02,349.75,False
T_1_55,116,98.0,3.0,2025-04-17,362.77,True
T_1_56,105,150.0,2.0,2023-11-10,96.33,False
T_1_57,129,7.0,13.0,2023-10-05,326.1,True
T_1_58,47,45.0,16.0,2023-08-06,214.84,True
T_1_59,114,113.0,11.0,2024-02-03,417.75,True
T_1_60,1,137.0,17.0,2025-02-18,292.36,False
T_1_61,4,149.0,7.0,2024-08-22,329.52,False
T_1_62,6,132.0,4.0,2023-07-27,182.95,True
T_1_63,88,110.0,12.0,2024-05-05,241.89,False
T_1_64,13,155.0,8.0,2025-02-13,175.76,True
T_1_65,101,100.0,14.0,2024-08-12,407.51,True
T_1_66,119,105.0,16.0,2024-06-17,329.48,True
T_1_67,98,13.0,16.0,2025-02-18,51.71,False
T_1_68,65,197.0,14.0,2024-09-07,29.18,False
T_1_69,74,50.0,19.0,2024-10-13,287.52,True
T_1_70,148,168.0,10.0,2024-12-06,98.7,False
T_1_71,98,164.0,11.0,2024-10-05,56.13,False
T_1_72,15,51.0,19.0,2023-05-19,81.51,False
T_1_73,24,72.0,13.0,2024-05-12,300.13,True
T_1_74,32,58.0,18.0,2025-03-21,315.63,False
T_1_75,76,115.0,6.0,2025-03-19,425.77,True
T_1_76,16,148.0,18.0,2024-01-23,388.25,False
T_1_77,142,67.0,9.0,2023-07-09,152.95,True
T_1_78,122,87.0,4.0,2024-06-19,177.7,False
T_1_79,92,14.0,1.0,2023-06-12,265.43,True
T_1_80,34,82.0,20.0,2023-12-19,190.63,True
T_1_81,102,197.0,3.0,2025-01-02,285.35,False
T_1_82,72,5.0,18.0,2025-05-08,352.9,False
T_1_83,9,132.0,20.0,2024-01-06,241.05,False
