transaction_id,pharmacy_id,drug_id,quantity_sold,sale_date,total_amount,promotion_applied_flag
T_5_1,126,162.0,5.0,2024-10-15,190.39,True
T_5_2,73,62.0,16.0,2024-05-20,32.69,True
T_5_3,129,124.0,7.0,2023-06-01,456.62,True
T_5_4,143,108.0,4.0,2023-07-21,301.42,False
T_5_5,110,168.0,1.0,2023-10-20,499.72,True
T_5_6,34,13.0,19.0,2023-11-25,68.29,False
T_5_7,74,78.0,1.0,2023-09-14,242.89,True
T_5_8,111,188.0,2.0,2024-11-15,314.77,False
T_5_9,17,123.0,8.0,2024-06-16,229.2,True
T_5_10,108,60.0,18.0,2024-03-04,360.34,True
T_5_11,111,99.0,14.0,2024-10-12,492.62,False
T_5_12,3,56.0,10.0,2023-11-01,160.18,False
T_5_13,119,117.0,19.0,2023-11-02,80.84,False
T_5_14,34,146.0,16.0,2024-02-07,328.18,True
T_5_15,42,182.0,17.0,2024-07-06,158.44,True
T_5_16,75,12.0,13.0,2025-01-21,385.46,True
T_5_17,149,168.0,20.0,2024-02-13,470.38,False
T_5_18,94,24.0,17.0,2024-05-28,313.98,True
T_5_19,90,95.0,2.0,2024-08-21,191.1,False
T_5_20,129,200.0,5.0,2023-06-11,107.08,True
T_5_21,148,47.0,12.0,2023-12-13,220.16,True
T_5_22,67,30.0,19.0,2024-01-13,490.46,True
T_5_23,70,7.0,5.0,2023-08-13,407.41,True
T_5_24,35,113.0,12.0,2024-06-26,112.83,False
T_5_25,79,49.0,19.0,2024-03-07,412.16,False
T_5_26,64,36.0,7.0,2025-03-04,106.08,True
T_5_27,100,163.0,3.0,2023-06-17,5.03,True
T_5_28,60,2.0,3.0,2024-01-09,444.15,False
T_5_29,61,107.0,5.0,2023-08-11,240.55,True
T_5_30,93,47.0,4.0,2024-06-26,473.62,True
T_5_31,150,110.0,2.0,2024-06-24,234.15,False
T_5_32,32,183.0,17.0,2023-11-13,348.96,True
T_5_33,64,14.0,19.0,2024-05-19,479.31,False
T_5_34,83,194.0,12.0,2023-08-16,385.52,True
T_5_35,84,93.0,14.0,2023-12-26,282.99,False
T_5_36,103,129.0,20.0,2024-09-17,215.36,True
T_5_37,20,200.0,1.0,2025-01-04,258.97,True
T_5_38,84,41.0,9.0,2023-08-09,113.0,True
T_5_39,46,5.0,12.0,2024-02-16,139.54,True
T_5_40,80,129.0,13.0,2024-03-22,423.36,True
T_5_41,24,66.0,6.0,2024-07-31,441.89,True
T_5_42,54,69.0,18.0,2023-09-19,320.0,False
T_5_43,43,87.0,11.0,2023-11-18,123.76,True
T_5_44,7,20.0,13.0,2024-08-07,179.6,False
T_5_45,81,195.0,14.0,2024-02-22,104.37,True
T_5_46,3,59.0,7.0,2025-02-27,187.14,False
T_5_47,44,2.0,6.0,2024-01-11,46.79,False
T_5_48,117,53.0,7.0,2023-08-02,184.47,True
T_5_49,85,41.0,3.0,2024-03-07,19.3,False
T_5_50,104,132.0,,2023-08-12,76.18,False
T_5_51,71,165.0,1.0,2023-06-30,260.55,True
T_5_52,14,182.0,2.0,2025-04-22,131.51,True
T_5_53,105,102.0,2.0,2024-02-22,143.99,True
T_5_54,23,57.0,7.0,2025-04-18,218.35,True
T_5_55,11,10.0,20.0,2023-11-21,299.28,True
T_5_56,64,109.0,15.0,2024-08-22,342.93,False
T_5_57,42,184.0,6.0,2025-03-14,23.53,False
T_5_58,29,177.0,19.0,2024-03-16,,True
T_5_59,103,73.0,5.0,2025-01-15,419.27,True
T_5_60,74,145.0,6.0,2024-04-10,304.11,True
T_5_61,124,6.0,16.0,2024-11-10,285.69,False
T_5_62,118,81.0,8.0,2025-02-05,230.23,False
T_5_63,25,27.0,8.0,2023-06-25,127.47,True
T_5_64,72,140.0,9.0,2024-11-03,27.12,False
T_5_65,30,179.0,15.0,2025-04-26,173.24,True
T_5_66,36,167.0,13.0,2024-08-19,397.07,False
T_5_67,78,85.0,20.0,2024-03-25,152.43,True
T_5_68,114,174.0,1.0,2024-11-01,480.17,False
T_5_69,145,5.0,3.0,2024-07-01,,False
T_5_70,114,66.0,1.0,2025-01-27,287.27,True
T_5_71,15,15.0,8.0,2024-10-28,223.44,False
T_5_72,48,161.0,17.0,2024-10-02,346.79,False
T_5_73,86,123.0,16.0,2024-04-05,491.89,True
T_5_74,29,191.0,12.0,2025-01-10,389.17,False
T_5_75,34,184.0,19.0,2024-04-27,171.83,False
T_5_76,85,114.0,18.0,2025-04-09,83.39,False
T_5_77,18,120.0,20.0,2024-05-03,446.38,False
T_5_78,133,18.0,12.0,2025-04-28,427.32,True
T_5_79,12,162.0,14.0,2024-07-13,417.94,True
T_5_80,149,90.0,12.0,2024-07-17,431.2,False
T_5_81,56,167.0,7.0,2025-01-16,303.97,False
T_5_82,140,11.0,9.0,2024-08-03,371.67,True
T_5_83,76,165.0,15.0,2024-09-22,25.05,False
T_5_84,142,115.0,12.0,2023-05-12,217.52,False
T_5_85,108,54.0,1.0,2024-10-13,311.39,True
T_5_86,58,2.0,6.0,2024-10-26,356.2,True
T_5_87,14,95.0,4.0,2024-06-12,21.49,False
T_5_88,37,80.0,16.0,2024-05-11,119.85,False
T_5_89,140,59.0,9.0,2024-11-16,178.28,True
T_5_90,16,25.0,4.0,2024-03-11,280.06,False
T_5_91,1,141.0,20.0,2025-04-22,379.96,False
T_5_92,94,116.0,15.0,2024-12-05,423.95,True
T_5_93,93,116.0,6.0,2024-07-27,108.17,False
T_5_94,113,138.0,2.0,2025-01-09,121.72,True
T_5_95,46,127.0,16.0,2024-09-08,268.32,False
T_5_96,60,83.0,19.0,2023-08-05,224.04,True
T_5_97,43,62.0,11.0,2023-12-02,445.68,False
T_5_98,58,197.0,17.0,2024-03-04,311.03,False
T_5_99,107,151.0,18.0,2025-02-05,369.83,True
T_5_100,26,11.0,1.0,2024-06-16,202.36,False
T_5_101,26,49.0,17.0,2024-10-25,191.01,True
