transaction_id,pharmacy_id,drug_id,quantity_sold,sale_date,total_amount,promotion_applied_flag
T_4_1,58,161.0,18.0,2024-09-20,28.2,False
T_4_2,69,114.0,1.0,2024-07-25,277.78,False
T_4_3,117,180.0,11.0,2024-07-07,306.49,False
T_4_4,54,64.0,7.0,2023-10-13,45.0,False
T_4_5,107,19.0,4.0,2024-08-18,421.88,True
T_4_6,38,102.0,15.0,2024-02-21,17.08,False
T_4_7,10,67.0,15.0,2024-11-04,282.04,True
T_4_8,102,192.0,6.0,2024-11-16,381.07,True
T_4_9,70,108.0,8.0,2024-09-24,23.29,False
T_4_10,106,154.0,7.0,2023-06-17,17.12,False
T_4_11,122,68.0,14.0,2025-01-03,392.91,False
T_4_12,20,118.0,15.0,2025-03-20,409.13,True
T_4_13,86,87.0,15.0,2025-01-17,450.03,False
T_4_14,103,23.0,2.0,2025-02-27,432.67,False
T_4_15,38,52.0,11.0,2024-07-26,40.07,True
T_4_16,22,7.0,3.0,2024-04-17,480.02,True
T_4_17,94,49.0,2.0,2024-12-23,71.36,False
T_4_18,24,139.0,12.0,2023-10-23,336.04,True
T_4_19,117,174.0,17.0,2024-11-14,135.99,True
T_4_20,88,198.0,11.0,2024-05-26,51.48,False
T_4_21,74,78.0,6.0,2024-05-10,80.05,False
T_4_22,126,142.0,20.0,2024-10-19,193.64,False
T_4_23,44,9.0,5.0,2025-01-31,181.55,False
T_4_24,84,44.0,1.0,2023-11-24,9.64,True
T_4_25,145,166.0,10.0,2025-03-15,288.47,True
T_4_26,84,46.0,10.0,2024-04-25,381.5,False
T_4_27,104,113.0,17.0,2025-01-08,,True
T_4_28,111,120.0,9.0,2025-02-14,79.67,False
T_4_29,116,70.0,16.0,2024-01-24,223.58,True
T_4_30,35,150.0,15.0,2023-10-23,397.16,True
T_4_31,121,2.0,1.0,2024-10-05,93.64,True
T_4_32,107,158.0,9.0,2023-06-02,182.36,True
T_4_33,142,115.0,6.0,2023-07-18,33.19,True
T_4_34,110,25.0,3.0,2024-11-14,282.8,True
T_4_35,146,21.0,10.0,2023-06-17,257.03,False
T_4_36,111,147.0,1.0,2025-05-07,389.92,False
T_4_37,122,122.0,12.0,2024-06-01,288.87,False
T_4_38,2,1.0,8.0,2025-04-29,257.01,True
T_4_39,109,123.0,6.0,2024-06-20,54.17,True
T_4_40,125,129.0,15.0,2024-06-28,,True
T_4_41,147,136.0,4.0,2023-12-23,119.98,False
T_4_42,22,168.0,12.0,2023-12-11,327.38,False
T_4_43,133,138.0,11.0,2024-02-11,114.16,False
T_4_44,31,171.0,14.0,2024-10-28,344.96,True
T_4_45,65,78.0,7.0,2024-06-04,207.88,False
T_4_46,137,18.0,12.0,2024-05-25,,True
T_4_47,72,19.0,7.0,2025-02-28,68.55,True
T_4_48,141,168.0,20.0,2023-10-14,358.93,False
T_4_49,103,44.0,18.0,2024-02-02,224.01,False
T_4_50,86,135.0,17.0,2024-03-10,263.78,True
T_4_51,30,6.0,13.0,2024-02-01,483.17,False
T_4_52,107,59.0,14.0,2025-01-16,188.43,False
T_4_53,79,191.0,4.0,2023-10-23,491.33,True
T_4_54,6,94.0,5.0,2023-05-19,241.16,True
T_4_55,38,182.0,11.0,2025-01-31,11.54,False
T_4_56,27,,17.0,2023-09-13,49.52,True
T_4_57,117,189.0,20.0,2024-04-02,336.61,False
T_4_58,14,40.0,11.0,2023-06-04,174.97,False
T_4_59,78,191.0,19.0,2023-11-18,22.22,False
T_4_60,6,76.0,18.0,2024-12-04,465.14,False
T_4_61,18,173.0,6.0,2025-05-06,242.4,True
T_4_62,44,38.0,1.0,2024-05-15,332.39,False
T_4_63,31,88.0,1.0,2025-02-04,199.54,False
T_4_64,102,52.0,7.0,2024-02-01,83.12,False
T_4_65,56,101.0,11.0,2024-11-29,343.21,True
T_4_66,46,176.0,7.0,2024-06-30,94.73,False
T_4_67,112,66.0,8.0,2025-01-06,33.2,False
T_4_68,50,165.0,6.0,2023-08-03,254.01,False
T_4_69,96,184.0,20.0,2024-03-01,,True
T_4_70,72,87.0,13.0,2024-08-01,116.52,True
T_4_71,44,178.0,13.0,2024-02-27,265.85,True
T_4_72,101,160.0,,2024-11-27,389.67,False
T_4_73,11,80.0,14.0,2023-12-31,28.77,True
T_4_74,59,90.0,14.0,2024-12-18,442.49,True
T_4_75,41,51.0,9.0,2023-12-09,86.17,False
T_4_76,114,132.0,12.0,2024-11-18,47.99,True
